Brand,Color_Group,Stars,Num_Ratings,Num_Reviews,RAM,Storage,Expandable,Processor_Brand,Display,Total_Cameras,Battery_Capacity,Price
OPPO,Yellow,4.5,1242,32,3 GB RAM ,64 GB ROM,Expandable Upto 2 TB,Mediatek processor,6.56,2,5000.0,9499
Infinix,Blue,4.1,1305,122,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Other processor,6.6,2,5000.0,13499
Infinix,Green,4.1,1305,122,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Other processor,6.6,2,5000.0,13499
OPPO,Blue,4.5,1242,32,3 GB RAM ,64 GB ROM,Expandable Upto 2 TB,Mediatek processor,6.56,2,5000.0,9499
REDMI,Grey,4.1,1959,131,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.53,1,5000.0,7894
REDMI,Blue,4.1,1959,131,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.53,1,5000.0,8190
REDMI,Black,4.1,1959,131,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.53,1,5000.0,7890
Google,Black,4.3,30999,3863,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Other processor,6.14,3,4410.0,28999
POCO,Other,4.3,207547,11775,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.53,4,5000.0,9099
POCO,Blue,4.3,154378,13840,6 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.43,4,5000.0,12999
realme,Other,4.4,20368,855,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,3,5000.0,8999
POCO,Blue,4.4,2043,250,8 GB RAM ,256 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.67,4,5000.0,24999
realme,Green,4.3,87820,4718,2 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,5999
realme,Blue,4.3,87820,4718,2 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,5999
realme,Yellow,4.4,20368,855,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,3,5000.0,8999
realme,Blue,4.4,20368,855,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,3,5000.0,8999
realme,Yellow,4.4,60850,2656,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,3,5000.0,9999
realme,Other,4.4,60850,2656,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,3,5000.0,9999
vivo,Blue,4.4,8169,783,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.44,4,4700.0,23999
Infinix,Green,4.2,7869,485,6 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Unisoc processor,6.6,2,5000.0,8999
REDMI,Black,4.3,241457,13909,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.53,2,5000.0,7699
POCO,Black,4.4,1868,230,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.67,4,5000.0,22999
REDMI,Blue,4.3,4657,231,2 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.52,1,5000.0,6656
APPLE,White,4.6,185978,10886,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,48900
POCO,Blue,4.3,207547,11775,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.53,4,5000.0,9099
MOTOROLA,Blue,4.0,1258,114,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.5,3,5000.0,8999
realme,Black,4.1,40684,2630,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,6999
OnePlus,Black,4.4,49313,3791,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.59,1,5000.0,19550
realme,Black,4.5,41927,1982,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,4,5000.0,14999
REDMI,Black,4.3,4657,231,2 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.52,1,5000.0,6567
SAMSUNG,Blue,4.2,508,39,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.5,3,5000.0,8916
realme,Blue,4.4,60850,2656,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,3,5000.0,9999
Infinix,Black,4.1,190,29,8 GB RAM ,128 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.78,4,5000.0,16999
OPPO,Black,4.4,2235,94,4 GB RAM ,64 GB ROM,Expandable Upto 2 TB,Mediatek processor,6.56,4,5000.0,12499
vivo,Black,4.4,16849,1746,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.44,4,4700.0,24999
POCO,Black,4.4,888,42,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.71,2,5000.0,10999
POCO,Black,4.3,14540,1262,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.43,4,5000.0,14999
REDMI,White,4.3,1060,89,6 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.43,1,5000.0,13400
POCO,Blue,4.4,888,42,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.71,2,5000.0,10999
realme,Yellow,4.5,41927,1982,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,4,5000.0,14999
realme,Blue,4.5,16021,1034,4 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.6,4,5000.0,12499
POCO,Green,4.4,888,42,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.71,2,5000.0,10999
realme,Black,4.5,4883,171,2 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,6999
realme,Blue,4.5,4883,171,2 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,6999
vivo,Black,4.4,1831,126,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.58,4,5000.0,18499
APPLE,Other,4.7,4616,346,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.7,3,5000.0,79999
Infinix,White,4.2,7869,485,6 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Unisoc processor,6.6,2,5000.0,8999
Infinix,Black,4.2,7869,485,6 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Unisoc processor,6.6,2,5000.0,8999
realme,Blue,4.2,87,6,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,8669
POCO,Blue,4.3,1189,66,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.71,2,5000.0,8999
OPPO,Silver,4.4,28926,2965,8 GB RAM ,128 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.43,5,4310.0,17990
OPPO,Black,4.4,28926,2965,8 GB RAM ,128 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.43,5,4310.0,17990
APPLE,Other,4.7,4616,346,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.7,3,5000.0,79999
APPLE,Blue,4.7,4616,346,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.7,3,5000.0,79999
realme,Grey,4.4,234630,10133,2 GB RAM ,32 GB ROM,Expandable Upto 256 GB,Other processor,6.5,2,5000.0,7499
